Repository title, Repository description, Stars,  Language used
google / googletest,b'Googletest - Google Testing and Mocking Framework',19396,C++
taniarascia / takenote,b'\xf0\x9f\x93\x9d A web-based notes app for developers. (Demo only)',3604,TypeScript
porn-vault / porn-vault,b'\xf0\x9f\x92\x8b Manage your ever-growing porn collection. Using Vue & GraphQL',830,TypeScript
adamian98 / pulse,b'PULSE: Self-Supervised Photo Upsampling via Latent Space Exploration of Generative Models',4249,Python
elastic / kibana,b'Your window into the Elastic Stack',15240,TypeScript
monicahq / monica,b'Personal CRM. Remember everything about your friends; family and business relationships.',11627,PHP
MicrosoftDocs / azure-docs,b'Open source documentation of Microsoft Azure',4741,PowerShell
aws-samples / aws-proton-sample-templates,b'Sample templates for AWS Proton; available in preview',13,Missing
containers / podman,b'Podman: A tool for managing OCI containers and pods',6272,Go
micronaut-projects / micronaut-core,b'Micronaut Application Framework',4388,Java
thedaviddias / Front-End-Checklist,b'\xf0\x9f\x97\x82 The perfect Front-End Checklist for modern websites and meticulous developers',4412,Missing
bradtraversy / 50projects50days,b'50+ mini web projects using HTML; CSS & JS',844,CSS
actions / virtual-environments,b'GitHub Actions virtual environments',1824,PowerShell
goldbergyoni / nodebestpractices,b'\xe2\x9c\x85 The Node.js best practices list (December 2020)',55534,JavaScript
gothinkster / realworld,b'"The mother of all demo apps" \xe2\x80\x94 Exemplary fullstack Medium.com clone powered by React; Angular; Node; Django; and many more \xf0\x9f\x8f\x85',50420,JavaScript
preactjs / wmr,b'\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x9a\x80 The tiny all-in-one development tool for modern web apps.',1564,JavaScript
h5bp / html5-boilerplate,b'A professional front-end template for building fast; robust; and adaptable web apps or sites.',48087,JavaScript
Anuken / Mindustry,b'A sandbox tower defense game',7090,Java
techtanic / Udemy-Course-Grabber,b'Python 75 23 Built by',stars,Missing
Free-IPTV / Countries,b'Free legally receivable IPTV channels as .m3u for Kodi. :-)',181,Missing
airbnb / javascript,b'JavaScript Style Guide',102173,JavaScript
go-gitea / gitea,b'Git with a cup of tea; painless self-hosted git service',22515,Go
supabase / supabase,b'Website; docs; and examples. Follow to stay updated about our public Beta.',3357,TypeScript
KhaosT / ACVM,b'C 125 9 Built by',stars,Missing
Bogdanp / awesome-advent-of-code,b'A collection of awesome resources related to the yearly Advent of Code challenge.',627,JavaScript
