Rank,State,GSDP (Cr INR at Current prices),GSDP (Cr INR at Current prices),Share,GDP ($billion),GSDP (Cr INR at 2011-12 prices),GSDP (Cr INR at 2011-12 prices)
Rank,State,18-19,17-18,17-18,2017,18-19,17-18
1.0,Maharashtra,-,2411600,14.11%,374.19599999999997,-,1942769
2.0,Tamil Nadu,1664159,1461841,8.55%,226.827,1207526,1116334
3.0,Uttar Pradesh,1542432,1376324,8.05%,213.558,1109408,1042113
4.0,Karnataka,1535224,1350257,7.90%,209.513,1136634,1037729
5.0,Gujarat,-,1314680,7.69%,203.993,-,1090260
6.0,West Bengal,1177586,999585,5.85%,155.101,800913,711408
7.0,Rajasthan,929124,835558,4.89%,129.65,679314,632921
8.0,Andhra Pradesh,933402,809547,4.74%,125.61399999999999,680332,612794
9.0,Telangana,865688,753811,4.41%,116.965,618544,559750
10.0,Madhya Pradesh,809327,728242,4.26%,112.99799999999999,535362,500151
11.0,Kerala,-,700532,4.10%,108.698,-,518269
12.0,Delhi,779652,690098,4.04%,107.079,602708,554908
13.0,Haryana,707126,626054,3.66%,97.14200000000001,526055,486239
14.0,Bihar,557490,484740,2.84%,75.215,394350,356768
15.0,Punjab,521861,479141,2.80%,74.346,397711,375535
16.0,Odisha,485376,436374,2.55%,67.71,390574,360772
17.0,Assam,-,288494,1.69%,44.763999999999996,-,219580
18.0,Chhattisgarh,311660,284194,1.66%,44.097,231820,218539
19.0,Jharkhand,307581,276243,1.62%,42.863,232821,217618
20.0,Uttarakhand,245895,222836,1.30%,34.576,193273,180844
21.0,Himachal Pradesh,153181,140613,0.82%,21.818,117868,109805
22.0,Jammu & Kashmir,-,138488,0.81%,21.489,-,107580
23.0,Goa,77172,70493,0.41%,10.937999999999999,57028,56762
24.0,Tripura,-,46133,0.27%,7.1579999999999995,-,32253
25.0,Chandigarh,-,38806,0.23%,6.021,-,30529
26.0,Puducherry,36656,32962,0.19%,5.115,24442,22489
27.0,Meghalaya,-,30790,0.18%,4.7780000000000005,-,23742
28.0,Nagaland,-,24281,0.14%,3.7680000000000002,-,16184
29.0,Manipur,-,23968,0.14%,3.719,-,17893
30.0,Sikkim,26786,23495,0.14%,3.6460000000000004,17629,16467
31.0,Arunachal Pradesh,-,22045,0.13%,3.4210000000000003,-,15705
32.0,Mizoram,-,19457,0.11%,3.0189999999999997,-,14787
33.0,Andaman & Nicobar Islands,-,7871,0.05%,1.2209999999999999,-,6482
,India,19010164,17095005,,2652.55,14077586,13179857
