Match Title, Series, Place, Date, Time
2nd T20I,AUSTRALIA V INDIA 2020/21,Sydney Cricket Ground; Sydney,Sunday 06 DECEMBER,13:40 IST
3rd T20I,AUSTRALIA V INDIA 2020/21,Sydney Cricket Ground; Sydney,Tuesday 08 DECEMBER,13:40 IST
1st Test,AUSTRALIA V INDIA 2020/21,Adelaide Oval; Adelaide,Thursday 17 DECEMBER,09:30 IST
2nd Test,AUSTRALIA V INDIA 2020/21,Melbourne Cricket Ground; Melbourne,Saturday 26 DECEMBER,05:00 IST
3rd Test,AUSTRALIA V INDIA 2020/21,Sydney Cricket Ground; Sydney,Thursday 07 JANUARY,05:00 IST
4th Test,AUSTRALIA V INDIA 2020/21,Brisbane Cricket Ground; Brisbane,Friday 15 JANUARY,05:30 IST
1st Test,ENGLAND V INDIA 2021,Trent Bridge; Nottingham,Wednesday 04 AUGUST,15:30 IST
2nd Test,ENGLAND V INDIA 2021,Lord's; London,Thursday 12 AUGUST,15:30 IST
3rd Test,ENGLAND V INDIA 2021,Headingley; Leeds,Wednesday 25 AUGUST,15:30 IST
4th Test,ENGLAND V INDIA 2021,The Oval; London,Thursday 02 SEPTEMBER,15:30 IST
5th Test,ENGLAND V INDIA 2021,Old Trafford; Manchester,Friday 10 SEPTEMBER,15:30 IST
