No.,Video name,Uploader / artist,Views (billions),Upload date
1.,"""Baby Shark Dance""[28]",Pinkfong Kids' Songs & Stories,7.33,"June 17, 2016"
2.,"""Despacito""[30]",Luis Fonsi featuring Daddy Yankee,7.08,"January 12, 2017"
3.,"""Shape of You""[31]",Ed Sheeran,5.09,"January 30, 2017"
4.,"""See You Again""[32]",Wiz Khalifa featuring Charlie Puth,4.84,"April 6, 2015"
5.,"""Masha and the Bear – Recipe for Disaster""[35]",Get Movies,4.37,"January 31, 2012"
6.,"""Johny Johny Yes Papa""[36]",LooLoo Kids,4.33,"October 8, 2016"
7.,"""Uptown Funk""[37]",Mark Ronson featuring Bruno Mars,4.02,"November 19, 2014"
8.,"""Gangnam Style""[38]",Psy,3.88,"July 15, 2012"
9.,"""Learning Colors – Colorful Eggs on a Farm""[40]",Miroshka TV,3.66,"February 27, 2018"
10.,"""Sorry""[41]",Justin Bieber,3.37,"October 22, 2015"
11.,"""Sugar""[42]",Maroon 5,3.34,"January 14, 2015"
12.,"""Bath Song""[43]",Cocomelon – Nursery Rhymes,3.31,"May 2, 2018"
13.,"""Phonics Song with Two Words""[44]",ChuChu TV,3.28,"March 6, 2014"
14.,"""Roar""[45]",Katy Perry,3.22,"September 5, 2013"
15.,"""Thinking Out Loud""[46]",Ed Sheeran,3.13,"October 7, 2014"
16.,"""Counting Stars""[47]",OneRepublic,3.12,"May 31, 2013"
17.,"""Shake It Off""[48]",Taylor Swift,2.99,"August 18, 2014"
18.,"""Bailando""[49]",Enrique Iglesias featuring Descemer Bueno and Gente De Zona,2.93,"April 11, 2014"
19.,"""Lean On""[50]",Major Lazer and DJ Snake featuring MØ,2.93,"March 22, 2015"
20.,"""Dame Tu Cosita""[51]",El Chombo featuring Cutty Ranks,2.93,"April 5, 2018"
21.,"""Faded""[52]",Alan Walker,2.92,"December 3, 2015"
22.,"""Dark Horse""[53]",Katy Perry featuring Juicy J,2.92,"February 20, 2014"
23.,"""Girls Like You""[54]",Maroon 5 featuring Cardi B,2.90,"May 31, 2018"
24.,"""Let Her Go""[55]",Passenger,2.85,"July 25, 2012"
25.,"""Mi Gente""[56]",J Balvin and Willy William,2.82,"June 29, 2017"
26.,"""Hello""[57]",Adele,2.75,"October 22, 2015"
27.,"""Blank Space""[58]",Taylor Swift,2.68,"November 10, 2014"
28.,"""Waka Waka (This Time for Africa)""[59]",Shakira featuring Freshlyground,2.66,"June 4, 2010"
29.,"""Perfect""[60]",Ed Sheeran,2.64,"November 9, 2017"
30.,"""Chantaje""[61]",Shakira featuring Maluma,2.60,"November 18, 2016"
"As of November 29, 2020","As of November 29, 2020","As of November 29, 2020","As of November 29, 2020","As of November 29, 2020"
